id,question,choices,label
631,"When a person speaks into a telephone, sound energy is changed mostly into which form of energy?","{""text"": [""heat"", ""light"", ""electrical"", ""chemical""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1991,Students planned an investigation that included adding a quantity of vinegar to a small amount of baking soda. Which is the best tool to measure the volume of the liquid vinegar used in the investigation?,"{""text"": [""pan balance"", ""spring scale"", ""meter stick"", ""graduated cylinder""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1491,A girl with long hair is going to be participating in an experiment that uses an alcohol burner for an energy source. What is the best thing for her to do to prepare for this experiment?,"{""text"": [""leave her large jacket in her locker for the day"", ""use goggles during the experiment"", ""tie her hair back away from her face"", ""wear a lab apron during the experiment""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
79,Which plant trait is inherited?,"{""text"": [""the shape of its leaves"", ""the amount of water it receives"", ""the number of minerals it absorbs from soil"", ""the level of sunlight to which it is exposed""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1001,The number of squirrels in a certain ecosystem changes over time. These changes can be represented as a number of connected data points. Which method would a student most likely use to show this information?,"{""text"": [""pie chart"", ""line graph"", ""pictogram"", ""data table""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1874,"According to the endosymbiotic theory, double-membrane mitochondria originated as a result of some larger eukaryotic cells with flexible membranes engulfing smaller prokaryotic cells. Which of these explains where the outer layer of the double membrane of the mitochondria originated?","{""text"": [""the plasma membrane of the eukaryotic host"", ""the nuclear membrane of the eukaryotic host"", ""the ribosomes of the engulfed prokaryotic cell"", ""the lysosomes of the engulfed prokaryotic cell""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
45,"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?","{""text"": [""erosion of sediment from a mountain range"", ""mass extinction of marine organisms"", ""formation of an ocean trench"", ""melting of polar ice caps""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
745,A shiny aluminum screen can be placed on the windshield of a parked car. This screen helps to keep the car cool because it,"{""text"": [""reflects the sunlight"", ""absorbs heat"", ""causes evaporation"", ""conducts electricity""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
75,Which of the following is most consistent with the modern theory of evolution?,"{""text"": [""Parents pass their physical traits to their offspring; those offspring with traits that help them survive in the environment are able to reproduce."", ""Parents change their physical traits in order to survive in the environment, then those parental traits are passed to their offspring."", ""Life on this planet came from another planet far out in space."", ""Living organisms have not changed for hundreds of millions of years.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2056,"Gregor Mendel was the first to show that organisms had traits that are passed on from parents to the next generation. In order for the scientific community to accept Mendel's discovery, others had to","{""text"": [""invent the microscope."", ""read through his journals."", ""duplicate the results of his experiments."", ""invest money in his scientific investigations.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1517,An example of an instinct is,"{""text"": [""laughing at something funny."", ""dogs doing tricks when told."", ""doing your homework at the same time each day."", ""salmon returning to their birthplace to lay their eggs.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1555,Which organ is part of the respiratory system?,"{""text"": [""stomach"", ""lungs"", ""spinal cord"", ""large intestines""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1385,Which is a chemical compound?,"{""text"": [""aluminum"", ""carbonated water"", ""sodium chloride"", ""carbon-14""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
503,What chemical symbol represents the element iron?,"{""text"": [""Fe"", ""I"", ""Ir"", ""Pb""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
266,"A person named Leonardo da Vinci studied many things including animals, geology, clouds, and flight. His study of birds helped him design the first parachute. Everything he saw made him ask how and why. Which human quality most likely made this person want to study many different things?","{""text"": [""duty"", ""wisdom"", ""kindness"", ""curiosity""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
391,Which of the following best represents one particular stage in a life cycle?,"{""text"": [""a fish swimming"", ""a seed sprouting"", ""a leaf growing"", ""a dog eating""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
424,"A student is working on a science project display for the school science fair. To best communicate why her conclusions are valid, what should be included on the display?","{""text"": [""a list of authoritative sources that supports her conclusion"", ""instructions for viewers to repeat her procedures"", ""clearly illustrated diagrams of the scientific principles involved"", ""a complete write-up of her experimental method and data collected""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
851,A homeowner wants to use a renewable resource to heat the home. Which resource would be the best to use?,"{""text"": [""coal"", ""gas"", ""oil"", ""solar""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1131,Which instrument would be used when studying a unit on amphibian anatomy?,"{""text"": [""a beaker"", ""a telescope"", ""a dissecting kit"", ""a graduated cylinder""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1604,What is the approximate length of time it takes the Moon to complete one lunar cycle?,"{""text"": [""14 days"", ""29 days"", ""180 days"", ""365 days""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
646,Which of the following best explains why the Sun appears to move across the sky every day?,"{""text"": [""The Sun rotates on its axis."", ""Earth rotates on its axis."", ""The Sun orbits around Earth."", ""Earth orbits around the Sun.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
998,The water contained in a geyser system gains energy from the underground material surrounding it. The water molecules gain kinetic energy and this results in an increase in the pressure of the water. Eventually the geyser erupts and expels water into the air above ground. Which of the following types of energy is the source for the initial energy gain of the water?,"{""text"": [""electrical"", ""magnetic"", ""mechanical"", ""thermal""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
31,Which sequence represents the order of development for many plants?,"{""text"": [""seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows"", ""seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows"", ""seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit"", ""seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit""], ""label"": [""1"", ""2"", ""3"", ""4""]}",
1924,"While Anna was testing a circuit, she dropped a light bulb. What is the safest thing Anna can do?","{""text"": [""get a new bulb to finish the test"", ""push the broken glass under a table"", ""tell her teacher that she broke the bulb"", ""ask her partner to help pick up the broken glass""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1156,A student provides the following directions for brushing teeth: • Turn on the water. • Fill the glass with water and leave the water running. • Put toothpaste on the toothbrush. • Brush for two minutes. • Rinse mouth with the water from the glass. • Rinse the toothbrush with the running water. • Turn off the water. Which change in these directions would conserve the most water?,"{""text"": [""Brush for three minutes."", ""Turn the water off before brushing."", ""Rinse mouth with the running water."", ""Use less toothpaste on the toothbrush.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
702,"Humans cannot survive without clean, fresh water. Reservoirs of liquid water vary, but all water spends time as a gas in the atmosphere. What is the source of most of the water in the atmosphere?","{""text"": [""lakes"", ""oceans"", ""rivers"", ""glaciers""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2190,"Windy, cloudy, rainy, and cold are words that help describe","{""text"": [""evaporation"", ""deposition"", ""matter"", ""weather""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
319,"For two organisms to be classified as the same species, they must produce offspring that are","{""text"": [""fertile."", ""adaptable."", ""alive at birth."", ""identical to the parents.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1426,Which statement about all living organisms is true?,"{""text"": [""They have limbs."", ""They produce their own food."", ""They breathe air."", ""They have at least one cell.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1066,Scientists claim that the area around the Grand Canyon was once covered by an ocean. What evidence would support their claim?,"{""text"": [""Dinosaur footprints were found near the Grand Canyon."", ""Fish were found living in the rivers of the Grand Canyon."", ""Fossils of ocean animals were found at the Grand Canyon."", ""Bones from desert animals were found at the Grand Canyon.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
276,Which rapid changes are caused by heat from inside Earth?,"{""text"": [""landslides"", ""volcanoes"", ""avalanches"", ""floods""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
802,Which technique will researchers studying the inheritance patterns of various disorders most likely use?,"{""text"": [""cladogram"", ""DNA fingerprinting"", ""gel electrophoresis"", ""chromosomal analysis""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
977,What is the smallest unit of an element that still has the properties of that element?,"{""text"": [""an atom"", ""a compound"", ""an electron"", ""a molecule""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1662,The functions of a plant's roots are to support the plant and,"{""text"": [""make food"", ""produce fruit"", ""take in water and nutrients"", ""aid in germination""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2099,"A scientist crosses a red-flowered plant with a white-flowered plant, and all offspring have red flowers. What will most likely result if these red-flowered offspring are crossed with white-flowered plants?","{""text"": [""All of the offspring will have red flowers."", ""All of the offspring will have white flowers."", ""The offspring will have either red or white flowers."", ""The offspring will have neither red nor white flowers.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1890,"The snowshoe hare was once common in Maryland. In 1986, researchers in the state noted that the snowshoe hare was no longer found in Maryland. Which statement best explains why the snowshoe hare is no longer found in Maryland?","{""text"": [""Water quality has improved."", ""There are too many trees."", ""The temperature is too cold."", ""Housing developments have replaced fields.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
485,Which tool would be best to measure the length of a butterfly?,"{""text"": [""triple beam balance"", ""graduated cylinder"", ""metric ruler"", ""thermometer""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
716,People can help keep a forest a good place for birds to live by,"{""text"": [""dumping garbage in a small part of the forest"", ""building a road through the middle of the forest"", ""burning dead trees to make smoke in the air"", ""preventing too many trees from being cut down""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1931,Which activity is necessary for humans to maintain good health?,"{""text"": [""reading"", ""resting"", ""driving"", ""talking""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1832,"The yellow-throated longclaw is a bird that lives on the dry savanna of Africa. It looks almost exactly like another bird, the western meadowlark of North America. Although the birds look very similar, they are not even in the same taxonomic family. Scientists think the birds look alike because the two species developed under similar environmental pressures, even though they developed thousands of miles apart. Which process does their development demonstrate?","{""text"": [""sexual selection"", ""disruptive selection"", ""divergent evolution"", ""convergent evolution""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1150,Which two observations are both used to describe weather?,"{""text"": [""precipitation and runoff"", ""temperature and sky conditions"", ""wind speed and erosion"", ""types of clouds and deposition""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1060,Light sometimes behaves as waves and other times as particles. Which property of light is equally explainable by treating light as either particles or waves?,"{""text"": [""interference of light"", ""reflection of light"", ""diffraction of light"", ""polarization of light""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1965,Which region of the Milky Way contains a population that consists mostly of old stars?,"{""text"": [""the halo"", ""the spiral arms"", ""the nuclear bulge"", ""the open clusters""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1522,"Which of these is most likely caused by the action of water, wind, and animals?","{""text"": [""mountains"", ""erosion"", ""earthquakes"", ""volcanic eruptions""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
443,"Traveling in opposite directions, buses A and B are passing each other at the relative speed of 25 km/h, while a passenger on bus A walks toward the back of the bus at the speed of 5 km/h. What is the velocity of the passenger on bus A relative to bus B?","{""text"": [""20 km/h in the direction of bus A"", ""20 km/h in the direction of bus B"", ""30 km/h in the direction of bus A"", ""30 km/h in the direction of bus B""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
504,A push or a pull on an object is an example of,"{""text"": [""force."", ""weight."", ""energy."", ""work.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1784,Scientists found fish fossils in the desert. What do the fossils tell about this environment when the fish were alive?,"{""text"": [""There was a forest with large trees."", ""There were lakes with water plants."", ""There were mountains with glaciers."", ""There was a desert with large rocks.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1409,"Strontium, barium, and radium are grouped together on the Periodic Table of the Elements because they all have","{""text"": [""a bright silver and white coloring."", ""similar electron configurations."", ""strong radioactive properties."", ""few or no stable isotopes.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1805,Which of these resources will most likely be depleted first?,"{""text"": [""Wind"", ""Solar energy"", ""Fossil fuels"", ""Water""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1310,"Stem cells are cells that can differentiate into many different kinds of cells. Scientists have discovered that the environment supporting the cells influences stem-cell differentiation. For example, stem cells grown on strong, flexible surfaces became muscle cells. What most likely happened to stem cells grown on a hard, rigid surface?","{""text"": [""They became nerve cells."", ""They became red blood cells."", ""They became bone cells."", ""They became skin cells.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
339,"A student sets a block at the top of a wooden ramp. The student pushes the block. As the block slides down the ramp, it slows down and then comes to a stop. What force causes the block to slow down?","{""text"": [""the force of gravity"", ""the force of friction"", ""the force of magnetism"", ""the force of the student's push""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1437,"Over a long period of time, some flowering plants have become dependent on honey bees to fertilize their seeds. In recent years, a form of mite has infected and killed the honey bees in many areas of the country. Since this has happened, the once bee-dependent plants with the best chance of surviving are those that","{""text"": [""grow taller so that the few remaining honey bees will find them."", ""change their flowers so that wind will fertilize them."", ""have always attracted many other insects as well as honey bees."", ""have seeds that stay alive for a long time in the environment.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
272,A glacier retreats leaving bare rocks. Lichens begin to live on the rocks. The lichens produce an acid that starts to break down the rocks. How will this process affect the environment?,"{""text"": [""It will put acid into the lakes and ponds."", ""It will begin the process of building soil."", ""It will prevent the carbon cycle from occurring."", ""It will prevent bacteria from invading the ecosystem.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
955,Which of these locations in the solar system contains the most asteroids?,"{""text"": [""the surface of the Sun"", ""the ring system of Saturn"", ""between Mars and Jupiter"", ""between Mercury and Venus""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
561,"Some plants grow only in specific places in the world. Some cacti, for example, grow only in deserts. Which of the following is most important in determining where a plant can grow and survive?","{""text"": [""animals"", ""climate"", ""tides"", ""wind""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
712,Scientists wonder how the Egyptian pyramids were built. They think that the huge blocks of stone may have been put into place by pushing them up a sloping pathway. The pathway is which type of simple machine?,"{""text"": [""lever"", ""pulley"", ""inclined plane"", ""wheel and axle""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
943,Which of the following allows materials to enter and leave a cell?,"{""text"": [""cell wall"", ""mitochondria"", ""vacuole"", ""cell membrane""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2114,Endothermic reactions are reactions that require more energy to start than they give off in the products. Which statement describes an endothermic reaction?,"{""text"": [""It gives off heat energy and is hot to the touch."", ""It absorbs heat energy and is cold to the touch."", ""It gives off light energy and produces visible light."", ""It gives off water and is wet to the touch.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1577,Which of the following materials would best slow the transfer of heat?,"{""text"": [""aluminum"", ""copper"", ""glass"", ""wood""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
889,Many areas of Massachusetts have small deep ponds called kettle ponds. Which of the following best explains the formation of these ponds?,"{""text"": [""avalanche"", ""wind erosion"", ""glacial depression"", ""sediment deposition""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1990,Radio signal interruption sometimes causes a humming or buzzing sound. These sounds are most likely caused by,"{""text"": [""balanced forces."", ""longitudinal waves."", ""gravitational forces."", ""electromagnetic waves.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
535,An eagle is a bird that reproduces by laying its eggs in a dry nest. Which animal lays its eggs in a place most similar to the eagle?,"{""text"": [""amphibian"", ""fish"", ""mammal"", ""reptile""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1313,Which property of proteins best allows them to perform an enormously diverse range of functions?,"{""text"": [""their large, chemical-energy reserve"", ""their large, stored-electric potential"", ""the complexity of their folded structure"", ""the wide variety of elements they include""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1602,Which of the following is believed to be one cause of global warming?,"{""text"": [""atmospheric rise of carbon dioxide"", ""hot air from air conditioner exhaust"", ""methane gas escaping from landfills"", ""body heat generated by overpopulation""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1642,Which of these best indicates that sediments can be changed into rock?,"{""text"": [""layers of sandstone"", ""igneous intrusions"", ""lava beds"", ""mountains with gneiss""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2221,A water company uses lab tests on the water supply before sending the water through pipes to people's homes. How do these lab tests help people?,"{""text"": [""by adding minerals and nutrients to the water"", ""by checking the water to make sure it is safe to drink"", ""by filtering chemicals and organisms out of the water"", ""by stopping harmful substances from entering the water""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
491,Which resource provides the minerals plants need to grow?,"{""text"": [""sunlight"", ""water"", ""soil"", ""air""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1149,How hot is it on the surface of the Sun?,"{""text"": [""Not quite as hot as boiling water"", ""About as hot as fire"", ""About 100\u00b0F"", ""Much hotter than almost anything on Earth""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1429,"A student had a cup of ice while working outside. After a while, the ice melted because the Sun emits energy in the form of light and","{""text"": [""electricity."", ""heat."", ""magnetism."", ""sound.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
962,Wind can cause erosion that changes the surface of the Earth. Wind erosion can have negative effects on the environment by removing soil and polluting the air during dust storms. Which of the following land forms are created by wind erosion?,"{""text"": [""arches and faults"", ""sand dunes and arches"", ""meanders and moraines"", ""moraines and sand dunes""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1051,Down feathers are used by many sleeping bag manufacturers because down feathers are,"{""text"": [""fire resistant."", ""comfortable padding."", ""good insulators."", ""water resistant.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
526,"In most animals, combinations of various tissues make up functional units called","{""text"": [""epithelial cells."", ""organs."", ""organ systems."", ""populations.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
184,How does ice change the shape of rocks?,"{""text"": [""It dissolves the rocks by pooling on surfaces."", ""It breaks the rocks by expanding in openings."", ""It smooths the rocks by colliding with them."", ""It moves the rocks by pressing on them.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
877,A water wave that occurs in an ocean is an example of which type of wave?,"{""text"": [""electromagnetic"", ""gravitational"", ""transverse"", ""seismic""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
386,Kate sees a full moon. About how much time will go by before the next full moon?,"{""text"": [""one week"", ""two weeks"", ""one month"", ""one year""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2131,Life is more likely to be found on a planet whose atmosphere contains abundant,"{""text"": [""neon."", ""oxygen."", ""hydrogen."", ""sulfur dioxide.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1360,Repeated pesticide use on an insect population can result in some of the insects becoming resistant to that pesticide over time. Which process is responsible for the pesticides no longer being effective on the insects?,"{""text"": [""divergent evolution"", ""natural selection"", ""bottleneck effect"", ""selective breeding""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
302,Which of these is an example of an endothermic process?,"{""text"": [""fireworks display"", ""glowing light stick"", ""first-aid instant cold pack"", ""gasoline-burning car engine""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1744,Which is an example of a group of cells with a common structure and function?,"{""text"": [""stomach"", ""muscle tissue"", ""mitochondria"", ""digestive system""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
929,What is the main source of energy for the water cycle?,"{""text"": [""electricity"", ""erosion"", ""gravity"", ""sunlight""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1040,Which is an example of a chemical change?,"{""text"": [""sand separated from water by filtering"", ""water evaporating from a puddle"", ""a rock being eroded by wind"", ""a nail rusting in water""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1338,Materials must pass through a cell's semi-permeable membrane in order for energy to be utilized. This process is called,"{""text"": [""diffusion."", ""oxidation."", ""respiration."", ""reproduction.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
559,Which statement best describes the climate of Nevada?,"{""text"": [""Temperature at night dropped behind a cold front."", ""Wind increased during the day."", ""Humidity is low throughout every summer."", ""Air pressure increased gradually all week.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1259,One way animals usually respond to a sudden drop in temperature is by,"{""text"": [""sweating"", ""shivering"", ""blinking"", ""salivating""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
862,"When a guitar string is plucked, sound is produced by","{""text"": [""the size of the guitar."", ""the metal on the guitar."", ""the wood on the guitar."", ""the vibrations of the string.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
917,"The brain, spinal cord, and nerves are organs that perform which primary function?","{""text"": [""supporting the body and enabling it to move"", ""transporting oxygen, wastes, and nutrients throughout the body"", ""producing male and female gametes"", ""conducting messages to coordinate body functions""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2024,Which pair together could cause a rainbow?,"{""text"": [""Fog and clouds"", ""Rain and snow"", ""Clouds and ice"", ""Sunshine and rain""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
156,Which best describes the orbit of the Moon around Earth?,"{""text"": [""circular with a period of about one month"", ""circular with a period of about one week"", ""elliptical with a period of about one month"", ""elliptical with a period of about one week""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1769,The chemical reaction of ethane and oxygen produces carbon dioxide and water. Which is the best form to identify reactants and products of the reaction?,"{""text"": [""a table"", ""a graph"", ""a diagram"", ""an equation""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
808,Dominic placed a caterpillar in a container with different kinds of leaves. Which information should he record to find out what food this caterpillar eats?,"{""text"": [""the type of leaves the caterpillar has eaten"", ""the amount of time for all the leaves to be eaten"", ""the number of leaves that were put in the container"", ""the number of minutes the caterpillar spends eating""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1749,Which action illustrates a chemical change?,"{""text"": [""painting a wood chest"", ""sawing a wood plank"", ""burning wood chips"", ""cutting down a tree""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
776,A marble is dropped in a glass of water. Which force pulls the marble to the bottom of the glass?,"{""text"": [""electricity"", ""friction"", ""gravity"", ""magnetism""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
690,"Some microorganisms cause human disease. Other microorganisms are used in making cheese, yogurt, and bread. Based on this information, the relationship between humans and microorganisms can be","{""text"": [""beneficial, only"", ""harmful, only"", ""beneficial or harmful""], ""label"": [""1"", ""2"", ""3""]}",
1889,Earthquake waves are recorded by seismograph machines. What does an earthquake wave transmit?,"{""text"": [""energy"", ""light"", ""particles"", ""speed""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1929,Which items would best protect a group of students while investigating a forest ecosystem?,"{""text"": [""short pants and T-shirts"", ""short pants and long-sleeved shirts"", ""long pants and T-shirts"", ""long pants and long-sleeved shirts""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2087,Which event is most likely to increase the genetic variation in a population of organisms?,"{""text"": [""improved hunting techniques"", ""greater environmental stress"", ""increased immigration"", ""introduced predators""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1630,Why are some rocks smoother and rounder than others?,"{""text"": [""They have the shapes of the minerals from which they are made."", ""They were smoothed by the action of wind and water."", ""They were squeezed up through the soil."", ""They hardened in rounded pockets of soil.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1913,"Some of the thermal structure of Earth is the result of a combination of chemical composition, temperature, and pressure. Which is a boundary that best demonstrates a contact point between layers having relatively the same temperature and chemical composition?","{""text"": [""lithosphere and mesosphere"", ""inner core and outer core"", ""outer core and mantle"", ""mantle and crust""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1112,An example of a learned behavior is a,"{""text"": [""spider building a web."", ""dog laying down on command."", ""beaver building a dam in a creek."", ""kangaroo jumping away from a predator.""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
211,Which features are physical properties of an iron nail?,"{""text"": [""conducts heat, magnetic, solid"", ""conducts electricity, magnetic, rusts"", ""conducts sound, insulates, non-magnetic"", ""dissolves, conducts heat, non-magnetic""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1950,The starch and water molecules in potato cells are stored in what organelle?,"{""text"": [""mitochondrion"", ""nucleus"", ""ribosome"", ""vacuole""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1506,"In Rutherford's experiment, what caused some high-energy particles to bounce off the metal, while most pass straight through?","{""text"": [""light waves"", ""magnetic waves"", ""positive charges"", ""negative charges""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
1370,Solar radiation is a combination of light with different wavelengths. Which type of ray can harm human skin the most?,"{""text"": [""infrared"", ""microwave"", ""ultraviolet"", ""visible""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
2232,"In some national parks, controlled fires are maintained by firefighters. Which of these is one of the major reasons for using controlled burns to maintain certain ecosystems?","{""text"": [""to give nonnative plants a chance to colonize the region"", ""to prevent the spread of pests that cause damage to plants"", ""to replace matured plants with saplings of the same species"", ""to rid the forest floor of accumulated deadwood and brush""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
380,"When a soccer player kicks a ball, which two systems work directly with the muscular system?","{""text"": [""immune and excretory"", ""digestive and respiratory"", ""nervous and skeletal"", ""circulatory and integumentary""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
897,Which is the best example of a pure substance?,"{""text"": [""peanuts"", ""milk"", ""gold"", ""air""], ""label"": [""A"", ""B"", ""C"", ""D""]}",
